SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,MnO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Total_Liq,P_kbar
59.87006497,0.6996501749,18.99050475,2.95852074,0.31984008,0.2098950525,0.6596701649,10.59470265,5.697151424,100,2
59.6,0.6,19,3.11,0.29,0.22,0.68,10.8,5.7,100,2
60.28191543,0.4698590423,20.19394182,2.359292212,0.1799460162,0.2499250225,0.5398380486,10.49685094,5.228431471,100,2
61.51845554,0.3100930279,19.40582175,2.67080124,0.1800540162,0.1500450135,0.4501350405,10.10303091,5.211563469,100,2
61.36931534,0.4897551224,19.89005497,2.308845577,0.259870065,0.15992004,0.7296351824,9.095452274,5.697151424,100,1
67.40083614,2.182114816,13.6637096,5.924339757,1.662078107,0.1019679821,3.803405731,2.324869991,2.936677883,100,0
52.07368529,4.30173922,16.05433776,12.04075332,3.468148606,0.1029124215,6.781928579,4.044458166,1.132036637,100,16
50.6926629,4.197024115,16.21344279,13.5454079,3.56080041,0.1334017445,6.567470498,3.817342227,1.272447409,100,13
50.96941835,4.267439536,16.3901659,12.59244453,4.217469518,0.2598440935,6.705976414,3.567859284,1.029382371,100,16
50.8176361,3.332643345,14.90374664,15.3177396,3.311943697,0.1448975367,6.955081764,3.456841234,1.759470089,100,10
50.77839306,3.64643193,16.19475499,14.62752064,3.092675791,0.1253787483,6.728659492,3.280743914,1.525441438,100,13
49.93307938,4.550602286,16.16390405,13.79594358,3.819623185,0.1338412437,6.86708535,3.593122619,1.142798312,100,13
51.64609053,4.547325103,11.83127572,15.53497942,3.487654321,0.195473251,7.263374486,3.755144033,1.738683128,100,5
48.59678085,4.343788692,12.38134544,18.3656624,3.508047875,0.1857201816,7.511349567,3.023111845,2.084193149,100,7
58.77047481,2.260004147,12.98984035,11.42442463,2.425876011,0.228073813,5.795148248,3.172299399,2.933858594,100,0
67.44584383,1.249370277,14.07556675,5.753148615,1.037783375,0.1007556675,2.670025189,3.506297229,4.161209068,100,0
47.31893791,4.297964666,11.23049902,20.83892964,3.357784895,0.3306126666,7.738402728,2.779212729,2.10765575,100,5
51.53877719,2.995486254,10.75092327,20.08617152,1.897825195,0.3385309807,6.688551498,2.913418137,2.790315962,100,5
