SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MgO_Cpx,MnO_Cpx,CaO_Cpx,Na2O_Cpx,Cr2O3_Cpx,Total_Cpx,P_kbar
52.8,0.18,4.7,4.9,18.6,0.13,17.9,0.5,0.91,100.62,12
53.5,0.19,2.9,5.08,17.7,0.14,19.2,0.49,0.48,99.68,12
53.3,0.12,3.2,5.3,20.2,0.16,17.2,0.46,0.63,100.57,12
52.9,0.15,3.4,5.4,18.8,0.15,17.5,0.42,0.74,99.46,12
52.3,0.2,4.9,5.5,17.9,0.13,18.1,0.48,0.48,99.99,12
53.3,0.17,3.8,5.5,19.2,0.16,17.6,0.44,0.62,100.79,12
49.8,0.38,8.3,5.8,16,0.16,17.6,0.67,0.38,99.09,12
51.8,0.28,7.1,5.9,17.2,0.15,17.9,0.57,0.45,101.35,12
49.9,0.41,8,6.1,15.7,0.15,18.5,0.58,0.36,99.7,12
51.7,0.27,6.1,6.2,16.7,0.15,19.1,0.54,0.52,101.28,12
52.6,0.31,4.3,6.3,16.5,0.11,19.1,0.65,0.37,100.24,12
48.7,0.47,8.4,6.76,14.4,0.13,18.6,0.7,0.12,98.28,12
51.1,0.56,5.6,6.9,15,0.17,18.6,0.74,0.36,99.03,12
50,0.49,8.5,7.1,16.3,0.18,16.9,0.7,0.24,100.41,12
48,0.62,10.4,7.3,13.8,0.16,17.6,0.82,0.09,98.79,12
49.3,0.57,9.5,7.4,13.8,0.11,18.4,0.99,0.13,100.2,12
50.6,0.52,6.7,7.5,14.9,0.13,18.6,0.81,0.28,100.04,12
48.7,0.44,9.1,7.8,13.8,0.13,18.8,0.81,0.11,99.69,12
48.82,0.86,13.86,6.15,10.05,0.007088547666,17.9,1.92,0.004242450594,99.571331,20
51.06,0.46,4.33,6.51,15.12,0.17,21.87,0.55,0.0003103544188,100.0703104,15
48.5,0.64,13,7.25,12.67,0.19,15.41,1.81,0.006768150165,99.47676815,20
48.78,0.59,11.7,8.2,13.54,0.18,15.09,1.71,0.0006334861293,99.79063349,20
52.92,0.22,0.33,18.73,21.19,0.76,4.88,0.03,0.008449223664,99.06844922,0.2
49.31,0.41,0.83,29.98,11.77,0.46,6.26,0.07,0.004049095471,99.0940491,0
46.7,1.9,8.9,7,13.5,0.03,21.23,0.4,0.007332600035,99.6673326,5
46.08,1.8,9.57,7.02,13.24,0.03,21.57,0.3,0.00240666599,99.61240667,5
45.58,1.85,9.9,7.29,13.1,0.03,21.43,0.37,0.006578484388,99.55657848,5
46.32,1.93,9.21,7.35,13.31,0.03,21.01,0.46,0.009364938329,99.62936494,5
45.38,1.98,9.57,8.31,13.1,0.05,20.65,0.5,0.00644925856,99.54644926,5
48.58,0.71,8.2,4.18,14.57,0.006055142323,23.2,0.21,0.007973151485,99.66402829,5
48.21,0.68,8.65,4.5,13.68,0.000556651817,23.69,0.24,0.004744578714,99.65530123,5
48.14,0.73,8.78,4.8,13.45,0.0033170633,23.49,0.24,0.008961659117,99.64227872,5
47.91,0.68,9.17,4.88,13.01,0.003474332296,23.79,0.22,0.001161344242,99.66463568,5
48.5,0.5,8.02,5.1,13.75,0.001074676317,23.55,0.19,0.009202259273,99.62027694,5
48.4,0.79,6.09,6.8,14.1,0.0008234815493,23.15,0.17,0.00502923591,99.50585272,5
50.65,0.59,4.07,7.58,14.11,0.0004681649356,22.05,0.26,0.00470695287,99.31517512,1.99
51.45,0.58,4.19,7.86,14.03,0.001674902312,21.51,0.27,0.007387615209,99.89906252,2
51.22,0.75,3.62,8.02,13.97,0.23,21.71,0.39,0.0005394214288,99.91053942,2.01
50.45,0.62,4.09,8.2,14.13,0.008781556742,22.08,0.37,0.008748528174,99.95753008,1.96
51.18,0.74,3.65,8.31,13.19,0.007120857197,22.16,0.43,0.004539085418,99.67165994,0.85
51.4,1.17,3.1,6.05,15.5,0.008629073433,21.01,1.1,0.0008796671147,99.33950874,1
